restaurant,address,zip_code,geo_coordinates_search,lon,lat,neighborhood,match_type,distance_m
Barcade,163 Newark Ave,7302,"40.72083646,-74.04479901",-74.04479901,40.72083646,Van Vorst Park,within,0.0
Burger King,330 Central Ave,7310,"40.74620755,-74.04907464",-74.04907464,40.74620755,Hudson City,within,0.0
Cryo Cream,413 Monmouth St,7302,"40.72415971,-74.0491322",-74.0491322,40.72415971,Village,within,0.0
Delenio,357 7th St,7302,"40.72654605,-74.05032437",-74.05032437,40.72654605,Hamilton Park,within,0.0
McDonald's,737 Secaucus Rd,7305,"40.75857694,-74.04933721",-74.04933721,40.75857694,Western Slope,within,0.0
Tropix Latin Food,733A West Side Ave,7306,"40.72420608,-74.07862307",-74.07862307,40.72420608,Lincoln Park,within,0.0
Angry Archieâ€™s,210 Hudson St,7302,"40.719072,-74.033388",-74.033388,40.719072,Harborside,within,0.0
Burger King,185 12th St,7302,"40.73074558,-74.04531159",-74.04531159,40.73074558,Van Leer,within,0.0
CoolVines on Grove,276 Grove St,7307,"40.71760417,-74.04396783",-74.04396783,40.71760417,Van Vorst Park,within,0.0
Guatemalteco Restaurant & Bakery,311 Pacific Ave,7304,"40.71175178,-74.06236217",-74.06236217,40.71175178,Lafayette,within,0.0
No. 1 GreatWall Chinese Restaurant,500a Ocean Ave,7305,"40.70349672,-74.08042304",-74.08042304,40.70349672,Jackson Hill,within,0.0
Oâ€™Lala Empanadas,600 Communipaw Ave,7304,"40.71743688,-74.07275577",-74.07275577,40.71743688,Bergen Hill,within,0.0
VB3 Pizzeria,475 Washington Blvd,7726,"40.7306457,-74.03463925",-74.03463925,40.7306457,Newport,within,0.0
AlNooor,774 West Side Ave,7305,"40.7267617,-74.07646013",-74.07646013,40.7267617,St. Pete,within,0.0
Bobwhite Counter,150 Warren St,7302,"40.71237807,-74.03991895",-74.03991895,40.71237807,Palus Hook,within,0.0
Dairy Queen,513 West Side Ave,7304,"40.71846484,-74.08367676",-74.08367676,40.71846484,West Side,within,0.0
Gusto Latino,745 West Side Ave,7306,"40.72426793,-74.07856967",-74.07856967,40.72426793,Lincoln Park,within,0.0
La Primicia Restaurant,452 West Side Ave,7304,"40.71666596,-74.08527193",-74.08527193,40.71666596,West Side,within,0.0
Marthaâ€™s,308 Pacific Ave,7304,"40.71157234,-74.06230305",-74.06230305,40.71157234,Lafayette,within,0.0
Beechwood Cafe,290 Grove St,7302,"40.718327,-74.043436",-74.043436,40.718327,Van Vorst Park,within,0.0
Curry On Indian Restaurant,765 Newark Ave,7306,"40.7352844,-74.06333116",-74.06333116,40.7352844,Journal Square,within,0.0
La Concha Restaurant,384 Central Ave,7307,"40.74792465,-74.04789709",-74.04789709,40.74792465,Hudson City,within,0.0
The Corkscrew Bar,61 Congress St,7307,"40.7495214,-74.04292324",-74.04292324,40.7495214,Mount Pleasant,within,0.0
